ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ArrayUtils.removeAllOccurences(long[],long);4;13;4;9;6;3;0;10;4;6;3;3;3;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveAllLongOccurences();1;14;2;12;3;1;0;13;2;11;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveAllLongOccurences();9.5;1;0.75;12;1;6;0.9999999999999999;
org.apache.commons.lang3.ArrayUtils.removeElement(boolean[],boolean);4;7;2;4;4;2;0;5;2;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementBooleanArray();1;17;2;14;7;1;0;16;2;14;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsRemoveTest.testRemoveElementBooleanArray();5;0;0;6;1;2;1;
org.apache.commons.lang3.ArrayUtils.reverse(long[]);6;6;1;3;1;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testReverseBooleanRange();1;25;2;23;4;1;0;24;2;22;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testReverseBooleanRange();8;0;0;12;0.8571428571428572;2;0.2;
org.apache.commons.lang3.ArrayUtils.shift(Object[],int);6;6;1;3;1;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testShiftNullObject();0;41;6;35;6;3;0;38;6;32;3;3;3;3;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testShiftNullObject();37;1;2;10;0.7944444444444444;4;0.5789473684210527;
org.apache.commons.lang3.ArrayUtils.shuffle(short[],Random);5;5;1;2;2;2;0;5;2;3;2;2;2;1;0;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testShuffleShort();1;9;3;6;6;2;0;8;4;4;2;2;2;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testShuffleShort();6;1;1;5;1;3;0.6;
org.apache.commons.lang3.ArrayUtils.subarray(long[],int,int);6;18;3;12;2;9;1;13;3;10;5;5;5;3;2;2;1;2;org.apache.commons.lang3.ArrayUtilsTest.testSubarrayLong();3;30;6;28;8;1;0;23;6;17;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSubarrayLong();9.285714285714286;0;0;17;1;7;0.7777777777777779;
org.apache.commons.lang3.ArrayUtils.swap(boolean[],int,int);7;6;1;3;2;2;0;4;1;3;2;2;2;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testSwapEmptyBooleanArray();1;17;6;11;7;3;0;14;6;8;3;3;3;3;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSwapEmptyBooleanArray();12;0;0;5;1;2;1;
org.apache.commons.lang3.ArrayUtils.swap(boolean[],int,int,int);5;17;2;11;3;9;1;14;3;11;5;5;7;1;1;0;1;0;org.apache.commons.lang3.ArrayUtilsTest.testSwapBooleanRange();0;33;2;31;4;1;0;32;2;30;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testSwapBooleanRange();12.833333333333334;1;0.8333333333333334;17;1;7;0.5;
org.apache.commons.lang3.ArrayUtils.toPrimitive(Long[]);7;12;2;8;2;4;1;11;3;8;4;4;4;3;2;2;1;2;org.apache.commons.lang3.ArrayUtilsTest.testCreatePrimitiveArray();4;18;3;14;14;2;0;13;3;10;2;2;2;2;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testCreatePrimitiveArray();18.333333333333332;1;3;12;0.9999999999999999;6;0.857142857142857;
org.apache.commons.lang3.ArrayUtils.toStringArray(Object[]);5;12;2;8;2;4;1;11;3;8;4;4;4;3;2;2;1;2;org.apache.commons.lang3.ArrayUtilsTest.testToStringArray_array();1;7;2;5;4;1;0;6;2;4;1;1;1;1;0;0;0;0;org.apache.commons.lang3.ArrayUtilsTest.testToStringArray_array();8.666666666666666;1;1.6666666666666667;12;0.9999999999999999;6;0.857142857142857;
