ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.geometry.euclidean.threed.FieldVector3D.orthogonal();7;16;5;12;13;6;1;12;5;7;4;4;4;3;2;2;1;2;org.apache.commons.math4.geometry.euclidean.threed.FieldVector3DTest.testOrthogonal();0;15;5;12;6;2;0;12;5;7;2;2;2;1;1;0;0;0;org.apache.commons.math4.geometry.euclidean.threed.FieldVector3DTest.testOrthogonal();7;0;0;15;1;4;1;
org.apache.commons.math4.genetics.FixedElapsedTime.FixedElapsedTime(long,TimeUnit);4;6;1;3;4;2;0;4;1;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.genetics.FixedGenerationCountTest.testIsSatisfied();7;50;12;36;9;3;0;25;15;10;3;3;3;2;0;0;0;0;org.apache.commons.math4.genetics.FixedGenerationCountTest.testIsSatisfied();8;0;0;3;0.6;1;0.5;
org.apache.commons.math4.genetics.FixedGenerationCount.FixedGenerationCount(int);5;6;1;3;3;2;0;4;1;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.ode.nonstiff.GraggBulirschStoerIntegratorTest.testIntegratorControls();5;30;9;21;12;3;0;21;5;16;3;3;4;2;1;0;0;0;org.apache.commons.math4.ode.nonstiff.GraggBulirschStoerIntegratorTest.testIntegratorControls();6.5;0;0;8;1;2;1;
org.apache.commons.math4.ode.JacobianMatrices.setParameterStep(String,double);5;11;2;6;5;3;0;8;2;6;3;3;3;3;3;3;2;3;org.apache.commons.math4.ode.JacobianMatricesTest.testParameterizable();6;86;33;68;45;26;1;80;30;50;8;8;8;2;0;0;0;0;org.apache.commons.math4.ode.JacobianMatricesTest.testParameterizable();16;1;1;6;0.75;1;0.5;
org.apache.commons.math4.stat.correlation.KendallsCorrelation.computeCorrelationMatrix(RealMatrix);4;13;4;9;6;3;0;14;6;8;3;3;3;1;0;0;2;0;org.apache.commons.math4.stat.correlation.KendallsCorrelationTest.testBlockMatrix();1;14;5;11;3;1;0;4;3;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.stat.correlation.KendallsCorrelationTest.testBlockMatrix();27;1;3;12;1;4;0.3333333333333333;
org.apache.commons.math4.genetics.ListPopulation.addChromosome(Chromosome);7;7;1;4;3;2;0;4;1;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.genetics.ListPopulationTest.testAddTooManyChromosomesSingleCall();0;11;3;6;4;2;0;8;4;4;2;2;2;1;0;0;0;0;org.apache.commons.math4.genetics.ListPopulationTest.testAddTooManyChromosomesSingleCall();4;0;0;5;1;2;1;
org.apache.commons.math4.genetics.ElitisticListPopulation.ElitisticListPopulation(List<Chromosome>,int,double);10;6;3;2;3;1;0;3;1;2;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.ListPopulationTest.testConstructorListOfChromosomesBiggerThanPopulationSize();0;22;4;16;6;2;0;14;6;8;2;2;2;2;0;0;0;0;org.apache.commons.math4.genetics.ListPopulationTest.testConstructorListOfChromosomesBiggerThanPopulationSize();11;0;0;7;0.5384615384615385;2;0.5;
org.apache.commons.math4.genetics.ListPopulation.setPopulationLimit(int);6;9;1;5;4;4;1;6;1;5;3;3;3;1;0;0;1;0;org.apache.commons.math4.genetics.ListPopulationTest.testSetPopulationLimitTooSmall();0;13;4;9;4;1;0;9;4;5;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.ListPopulationTest.testSetPopulationLimitTooSmall();5;0;0;4;0.5;1;0.3333333333333333;
org.apache.commons.math4.analysis.interpolation.LoessInterpolator.LoessInterpolator(double,int,double);14;14;3;8;6;4;1;8;1;7;3;3;4;1;0;0;1;0;org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testMath296withoutWeights();4;102;57;73;26;21;2;94;57;37;17;17;17;8;0;0;0;0;org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testMath296withoutWeights();43;0;0;8;0.8;2;0.6666666666666666;
org.apache.commons.math4.ml.neuralnet.MapUtils.sort(double[],Iterable<Neuron>,DistanceMeasure);6;16;7;10;9;4;1;14;7;7;3;3;3;1;0;0;1;0;org.apache.commons.math4.ml.neuralnet.MapUtilsTest.testSort();0;13;5;9;6;4;1;12;6;6;3;3;3;1;0;0;0;0;org.apache.commons.math4.ml.neuralnet.MapUtilsTest.testSort();29;1;8;13;1;8;0.7272727272727273;
