ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
com.mpatric.mp3agic.BufferTools.setBit(byte,int,boolean);12;9;2;5;1;2;0;6;2;4;2;2;2;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldSetBitsInBytesCorrectly();0;9;2;7;2;1;0;8;2;6;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldSetBitsInBytesCorrectly();7,2,3,6,8;5;0;0;4;4;0.6666666666666666;1;1;0.5;
com.mpatric.mp3agic.BufferTools.setBit(byte,int,boolean);12;9;2;5;1;2;0;6;2;4;2;2;2;1;1;0;1;0;com.mpatric.mp3agic.BufferToolsTest.shouldSetBitsInBytesCorrectly();0;9;2;7;2;1;0;8;2;6;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldSetBitsInBytesCorrectly();7,2,5,6,8;5;0;0;2;4;0.6666666666666666;1;1;0.5;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,4,5,3,4,3,4,3,4,3,4,5,3,6,7,9;18;1;5;9;9;1;6;6;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,4,5,3,4,3,4,5,3,4,3,6,7,9;16;1;4;0;9;1;1;6;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,4,3,4,5,3,4,3,6,7,9;13;1;3;0;9;1;0;5;0.5555555555555556;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,4,5,3,6,7,9;9;1;1;0;8;0.8888888888888888;0;3;0.3333333333333333;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,4,3,6,7,9;8;1;1;0;7;0.7777777777777778;0;2;0.2222222222222222;
com.mpatric.mp3agic.BufferTools.sizeSynchronisationWouldSubtract(byte[]);5;10;2;6;1;6;1;10;3;7;4;4;9;1;0;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();2;9;1;7;2;1;0;8;1;7;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldDetermineSynchronisationSizesCorrectly();8,2,3,6,7,9;6;0;0;0;5;0.5555555555555556;1;1;0.1111111111111111;
com.mpatric.mp3agic.BufferTools.synchroniseBuffer(byte[]);8;15;4;11;2;4;1;15;5;10;4;4;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();4;8;5;6;3;1;0;7;5;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();13,2,3,4,5,6,7,8,9,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,9,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,10,6,7,8,9,10,6,11,12,14;72;1;15;14;14;0.9333333333333333;10;10;0.6666666666666666;
com.mpatric.mp3agic.BufferTools.synchroniseBuffer(byte[]);8;15;4;11;2;4;1;15;5;10;4;4;7;1;1;0;2;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();4;8;5;6;3;1;0;7;5;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.shouldUnsynchroniseThenSynchroniseFFExBytesCorrectly();14,2,3,4,5,6,7,8,9,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,9,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,6,7,8,9,6,10,11,13,15;58;1;15;14;14;0.7777777777777778;8;8;0.5333333333333333;
